[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:43 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:45 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:45 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:46 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:35:52 America/Mexico_City] PHP Fatal error:  Class 'Imagick' not found in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 51
[15-Dec-2014 09:58:25 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[15-Dec-2014 09:59:09 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[15-Dec-2014 10:00:49 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
